rgb_time,pair_idx,est_x,est_y,est_z,gt_x,gt_y,gt_z,error_m
1305031528.839572,65,-0.23837121830826685,-0.4038504644765777,-0.00021122337267198699,-0.20145922731508992,-0.4008303496657375,-0.03561594271051871,0.05123583046992338
1305031529.007487,70,-0.26352916443400626,-0.48680694209893577,-0.040903696113281096,-0.21308918622002326,-0.4833659395134221,-0.07862896781103346,0.06308112257791412
1305031529.175411,75,-0.2919760783663846,-0.583388475379374,-0.09512554215391937,-0.23607098416976902,-0.5868699666598522,-0.11999441104326136,0.0612858954287509
1305031529.339486,80,-0.3297583485657432,-0.6760631628817322,-0.12387899222513823,-0.2795788617886179,-0.7017931478435019,-0.14707902868178246,0.06097749347864514
1305031529.507485,85,-0.42152274272335144,-0.7965345749909496,-0.12105347697985636,-0.3420077724530912,-0.8088369549150036,-0.14761733543141875,0.08473262432328399
1305031529.675618,90,-0.4878673385514033,-0.8697079826687231,-0.12480658254237612,-0.40942249719857915,-0.8796657845170827,-0.14361078845099295,0.08127945073863752
1305031529.839505,95,-0.5487582417921391,-0.9041113703598211,-0.12033833230827584,-0.47963453359651487,-0.9178148880600909,-0.14264716571172253,0.0739158811075005
1305031530.007409,100,-0.6429460383037912,-0.943841444842352,-0.11120194180977919,-0.5734692336885763,-0.9580470576420375,-0.12804683051355448,0.07288742065677663
1305031530.17541,105,-0.7509576155729263,-0.9902290404600129,-0.06243532143661058,-0.6629703335479104,-1.0108006341940252,-0.07428404501347052,0.09113366292050255
1305031530.339724,110,-0.8335538200170478,-1.043400017734354,0.01631789969119602,-0.7375612337829983,-1.062915301156425,0.004656424685558047,0.09864792394294114
1305031530.507461,115,-0.90615888619111,-1.100947486891388,0.09303432466345375,-0.8041917292516033,-1.1174835705600457,0.08470094413847384,0.10363488017263751
1305031530.675401,120,-0.9556843896422976,-1.1627957712606065,0.22185690412304654,-0.8551436425625253,-1.1755556493336194,0.1790600743866677,0.11001283992008164
1305031530.839463,125,-0.9953527407616961,-1.258069549349124,0.2558388643463691,-0.9131760007629403,-1.2496413728154876,0.24043218653887433,0.08403223475291617
1305031531.007484,130,-1.1130091625613234,-1.327124058043566,0.23954600141746085,-1.0193533295186326,-1.3005828409984979,0.2391212550365973,0.09734491088208903
1305031531.175355,135,-1.2828348048944678,-1.3214818392029681,0.16558161764491064,-1.1553447535941634,-1.3136728917817038,0.18442270939131689,0.12911111330392439
1305031531.339595,140,-1.4069521588883922,-1.3027378913014278,0.11848764688417181,-1.2963613904584794,-1.307350776053215,0.12223625873208888,0.11075038987939595
1305031531.507602,145,-1.526898758625706,-1.2667392970771054,0.06792583804209987,-1.4225767827766254,-1.2786648069999762,0.07424913096345054,0.10519161784736385
1305031531.675444,150,-1.6478836532938939,-1.231919731098823,0.034008708389887454,-1.5415563407481583,-1.2455067949359844,0.04715799537467524,0.10799541400041922
1305031531.839545,155,-1.7714871320268109,-1.2047976978922272,0.015276709493384256,-1.6566035691295329,-1.227828538731135,0.025693901246930384,0.11763150316879434
1305031532.007331,160,-1.8727065161547665,-1.1979283590535212,-0.031141454032615104,-1.758144658226641,-1.21791369954462,-0.010705085473142084,0.11807403730874877
1305031532.175563,165,-1.9400719644245101,-1.196244963190873,-0.08428056038660202,-1.8503892783062728,-1.2063328326538396,-0.06548323200534045,0.09218507934561387
1305031532.339777,170,-2.006826908035687,-1.1879267854604803,-0.13488523434394667,-1.9512822258779772,-1.191070140428677,-0.1119758481749038,0.06016587380815983
1305031532.507415,175,-2.0753728250280385,-1.1379116323424345,-0.14258562620431886,-2.0569449395608324,-1.1489681210213862,-0.12058728035667454,0.030753213242404872
1305031532.675452,180,-2.143413769871243,-1.08703522896365,-0.1471753942971449,-2.1352885249028444,-1.0831009536752259,-0.12247450826121153,0.02629889539128517
1305031532.839717,185,-2.171541056580513,-1.0377310553771852,-0.15043148834381695,-2.175805559926567,-1.016680783444198,-0.1309212812626659,0.029016342250370076
1305031533.007402,190,-2.1907991867708803,-0.9722593677227545,-0.15640553108769983,-2.185421388551129,-0.9511135207305151,-0.13879948978375412,0.028036409347628667
1305031533.175459,195,-2.1953980655313186,-0.9130223903899999,-0.15165591416466853,-2.1920176453758673,-0.9024370645876546,-0.12770225067353302,0.02640557436254201
1305031533.339522,200,-2.2058739979649786,-0.8929629883557968,-0.10040091860728738,-2.2094706405766624,-0.8864282771024157,-0.07126016998431894,0.030080251321228723
1305031533.507463,205,-2.2301612853234882,-0.8859560611320159,-0.022582591414101877,-2.2422071132020096,-0.8759960474028354,0.0005180700465909904,0.027891654714017347
1305031533.675446,210,-2.2664307074807972,-0.8879507855904223,0.02532832878349342,-2.2785849223946784,-0.8614068092411129,0.04586146436830951,0.03569197777582446
1305031533.839329,215,-2.3084425613705726,-0.8700089430373966,0.04657685450619023,-2.3209471703743865,-0.8229903386913899,0.06142239411230266,0.05086751858682744
1305031534.007323,220,-2.3633847011587736,-0.7917787044778194,0.064188998874195,-2.3732255704169942,-0.7466293374341368,0.06892964261020906,0.046451929510348315
1305031534.175381,225,-2.390020209291571,-0.7026582327160915,0.08484151241279002,-2.4098746727701883,-0.6827253629926329,0.08861889230622522,0.02838639840302836
